"Obsojeni polnoletni in mladoletni po: OBÈINE, KAZALNIK , LETO"

" ";"Število obsojenih polnoletnih in mladoletnih oseb"
" ";"2016"
"SLOVENIJA";7006
"Ajdovšèina";34
"Ankaran/Ancarano";4
"Apaèe";15
"Beltinci";26
"Benedikt";8
"Bistrica ob Sotli";z
"Bled";14
"Bloke";6
"Bohinj";3
"Borovnica";11
"Bovec";4
"Braslovèe";10
"Brda";10
"Brezovica";11
"Brežice";58
"Cankova";9
"Celje";199
"Cerklje na Gorenjskem";13
"Cerknica";14
"Cerkno";5
"Cerkvenjak";6
"Cirkulane";5
"Èrenšovci";17
"Èrna na Koroškem";6
"Èrnomelj";77
"Destrnik";9
"Divaèa";13
"Dobje";0
"Dobrepolje";12
"Dobrna";7
"Dobrova - Polhov Gradec";12
"Dobrovnik/Dobronak";z
"Dol pri Ljubljani";10
"Dolenjske Toplice";11
"Domžale";116
"Dornava";12
"Dravograd";19
"Duplek";26
"Gorenja vas - Poljane";7
"Gorišnica";4
"Gorje";5
"Gornja Radgona";39
"Gornji Grad";5
"Gornji Petrovci";3
"Grad";5
"Grosuplje";69
"Hajdina";21
"Hoèe - Slivnica";51
"Hodoš/Hodos";5
"Horjul";z
"Hrastnik";22
"Hrpelje - Kozina";14
"Idrija";16
"Ig";13
"Ilirska Bistrica";27
"Ivanèna Gorica";35
"Izola/Isola";45
"Jesenice";74
"Jezersko";0
"Juršinci";10
"Kamnik";82
"Kanal";15
"Kidrièevo";26
"Kobarid";5
"Kobilje";z
"Koèevje";147
"Komen";4
"Komenda";9
"Koper/Capodistria";183
"Kostanjevica na Krki";5
"Kostel";0
"Kozje";7
"Kranj";111
"Kranjska Gora";7
"Križevci";8
"Krško";94
"Kungota";19
"Kuzma";3
"Laško";28
"Lenart";29
"Lendava/Lendva";40
"Litija";39
"Ljubljana";932
"Ljubno";7
"Ljutomer";39
"Log - Dragomer";7
"Logatec";29
"Loška dolina";0
"Loški Potok";8
"Lovrenc na Pohorju";7
"Luèe";z
"Lukovica";13
"Majšperk";15
"Makole";7
"Maribor";555
"Markovci";11
"Medvode";38
"Mengeš";15
"Metlika";54
"Mežica";14
"Miklavž na Dravskem polju";15
"Miren - Kostanjevica";8
"Mirna";z
"Mirna Peè";9
"Mislinja";7
"Mokronog - Trebelno";7
"Moravèe";6
"Moravske Toplice";15
"Mozirje";9
"Murska Sobota";114
"Muta";9
"Naklo";10
"Nazarje";7
"Nova Gorica";77
"Novo mesto";203
"Odranci";3
"Oplotnica";9
"Ormož";35
"Osilnica";z
"Pesnica";25
"Piran/Pirano";68
"Pivka";8
"Podèetrtek";7
"Podlehnik";5
"Podvelka";5
"Poljèane";6
"Polzela";25
"Postojna";47
"Prebold";10
"Preddvor";z
"Prevalje";21
"Ptuj";94
"Puconci";28
"Raèe - Fram";20
"Radeèe";11
"Radenci";21
"Radlje ob Dravi";15
"Radovljica";38
"Ravne na Koroškem";22
"Razkrižje";z
"Reèica ob Savinji";5
"Renèe - Vogrsko";11
"Ribnica";43
"Ribnica na Pohorju";0
"Rogaška Slatina";26
"Rogašovci";13
"Rogatec";5
"Ruše";31
"Selnica ob Dravi";19
"Semiè";30
"Sevnica";38
"Sežana";31
"Slovenj Gradec";41
"Slovenska Bistrica";77
"Slovenske Konjice";43
"Sodražica";z
"Solèava";0
"Središèe ob Dravi";5
"Starše";7
"Straža";23
"Sveta Ana";6
"Sveta Trojica v Slov. goricah";9
"Sveti Andraž v Slov. goricah";z
"Sveti Jurij ob Šèavnici";12
"Sveti Jurij v Slov. goricah";4
"Sveti Tomaž";5
"Šalovci";7
"Šempeter - Vrtojba";10
"Šenèur";19
"Šentilj";30
"Šentjernej";45
"Šentjur";50
"Šentrupert";10
"Škocjan";38
"Škofja Loka";56
"Škofljica";25
"Šmarje pri Jelšah";23
"Šmarješke Toplice";6
"Šmartno ob Paki";13
"Šmartno pri Litiji";5
"Šoštanj";31
"Štore";8
"Tabor";3
"Tišina";15
"Tolmin";19
"Trbovlje";57
"Trebnje";47
"Trnovska vas";3
"Trzin";6
"Tržiè";34
"Turnišèe";18
"Velenje";114
"Velika Polana";3
"Velike Lašèe";12
"Veržej";5
"Videm";18
"Vipava";7
"Vitanje";6
"Vodice";9
"Vojnik";13
"Vransko";5
"Vrhnika";43
"Vuzenica";7
"Zagorje ob Savi";33
"Zavrè";z
"Zreèe";17
"Žalec";59
"Železniki";11
"Žetale";3
"Žiri";4
"Žirovnica";8
"Žužemberk";8
"Tujina";624

"Vir: Statistièni urad Republike Slovenije."

"Povezane vsebine: "
"- (seznam HREF= http://www.stat.si/StatWeb/File/DocSysFile/8274 "
"target=_blank) Metodološka pojasnila"

"Podatki so teritorialno razvršèeni po uredbi o Standardni "
"klasifikaciji teritorialnih enot ((seznam "
"HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-"
"ije/klasifikacije TARGET=_blank) opis in pojasnila), raven SKTE 5. "
"Podatki o spremembah posameznih obèin so dostopni na (seznam "
"HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-"
"ije/klasifikacije/spremembe-obmocij-obcin TARGET=_blank) povezavi. V "
"Seznamu obèin s spremembami obmoèij obèin od leta 1995 dalje je "
"opisana vrsta spremembe, naveden je datum, s katerim je opisana "
"teritorialna sprememba upoštevana pri teritorialnem razvršèanju enot "
"za statistiène namene ter naveden Uradni list, v katerem so bile "
"objavljene omenjene teritorialne opombe. V seznamu obèin je navedeno "
"zadnje veljavno stanje imen obèin."

"V preraèunu deleža so pri kategoriji SLOVENIJA zajeti tudi  "
"obsojenci s stalnim prebivališèem v tujini."

