"Obsojeni polnoletni in mladoletni po: OBČINE, LETO , KAZALNIK"

" ;""2015"";"" """
" ;""Obsojeni polnoletni in mladoletni na 1000 prebivalcev"";""Število obsojenih polnoletnih in mladoletnih oseb"""
SLOVENIJA;4.0;8241
Ajdovščina;1.6;30
Ankaran/Ancarano;z;z
Apače;5.6;20
Beltinci;5.2;43
Benedikt;2.8;7
Bistrica ob Sotli;4.4;6
Bled;2.7;22
Bloke;z;z
Bohinj;2.1;11
Borovnica;4.2;18
Bovec;2.9;9
Braslovče;2.2;12
Brda;1.9;11
Brezovica;2.8;33
Brežice;3.2;77
Cankova;1.6;3
Celje;4.7;231
Cerklje na Gorenjskem;1.6;12
Cerknica;2.7;31
Cerkno;0.9;4
Cerkvenjak;3.9;8
Cirkulane;z;z
Črenšovci;7.3;29
Črna na Koroškem;1.5;5
Črnomelj;7.3;106
Destrnik;z;z
Divača;3.6;14
Dobje;4.1;4
Dobrepolje;2.0;8
Dobrna;2.3;5
Dobrova - Polhov Gradec;1.3;10
Dobrovnik/Dobronak;z;z
Dol pri Ljubljani;3.4;21
Dolenjske Toplice;3.0;10
Domžale;2.8;99
Dornava;2.4;7
Dravograd;2.6;23
Duplek;4.9;33
Gorenja vas - Poljane;1.7;13
Gorišnica;3.3;13
Gorje;2.1;6
Gornja Radgona;4.6;39
Gornji Grad;1.2;3
Gornji Petrovci;5.3;11
Grad;1.4;3
Grosuplje;4.3;86
Hajdina;4.0;15
Hoče - Slivnica;4.5;50
Hodoš/Hodos;z;z
Horjul;2.0;6
Hrastnik;2.5;23
Hrpelje - Kozina;4.1;18
Idrija;1.5;18
Ig;3.4;24
Ilirska Bistrica;1.5;21
Ivančna Gorica;2.3;37
Izola/Isola;3.3;52
Jesenice;2.8;59
Jezersko;0.0;0
Juršinci;3.0;7
Kamnik;3.3;96
Kanal;2.6;14
Kidričevo;3.1;20
Kobarid;1.4;6
Kobilje;10.3;6
Kočevje;8.3;134
Komen;2.0;7
Komenda;1.8;11
Koper/Capodistria;4.3;219
Kostanjevica na Krki;2.0;5
Kostel;z;z
Kozje;2.3;7
Kranj;2.6;147
Kranjska Gora;4.1;22
Križevci;4.6;17
Krško;4.8;125
Kungota;4.0;19
Kuzma;z;z
Laško;3.0;40
Lenart;3.3;27
Lendava/Lendva;5.4;57
Litija;2.6;39
Ljubljana;3.8;1093
Ljubno;2.3;6
Ljutomer;2.9;33
Log - Dragomer;1.9;7
Logatec;2.0;28
Loška dolina;1.3;5
Loški Potok;3.2;6
Lovrenc na Pohorju;1.6;5
Luče;z;z
Lukovica;3.2;18
Majšperk;2.0;8
Makole;3.5;7
Maribor;5.8;653
Markovci;5.5;22
Medvode;2.8;44
Mengeš;2.2;17
Metlika;5.1;43
Mežica;2.2;8
Miklavž na Dravskem polju;3.7;24
Miren - Kostanjevica;2.1;10
Mirna;3.2;8
Mirna Peč;2.1;6
Mislinja;2.4;11
Mokronog - Trebelno;2.6;8
Moravče;1.5;8
Moravske Toplice;4.4;26
Mozirje;2.2;9
Murska Sobota;5.2;99
Muta;3.3;11
Naklo;1.5;8
Nazarje;2.7;7
Nova Gorica;2.3;72
Novo mesto;7.3;265
Odranci;3.0;5
Oplotnica;z;z
Ormož;2.4;30
Osilnica;0.0;0
Pesnica;4.2;31
Piran/Pirano;4.6;82
Pivka;2.8;17
Podčetrtek;z;z
Podlehnik;3.9;7
Podvelka;2.9;7
Poljčane;3.4;15
Polzela;3.6;22
Postojna;5.3;85
Prebold;2.4;12
Preddvor;3.1;11
Prevalje;3.0;20
Ptuj;5.0;116
Puconci;2.5;15
Rače - Fram;3.1;22
Radeče;3.5;15
Radenci;4.0;21
Radlje ob Dravi;3.8;24
Radovljica;2.5;48
Ravne na Koroškem;4.8;54
Razkrižje;2.3;3
Rečica ob Savinji;2.1;5
Renče - Vogrsko;1.4;6
Ribnica;5.9;55
Ribnica na Pohorju;z;z
Rogaška Slatina;2.1;23
Rogašovci;4.2;13
Rogatec;3.2;10
Ruše;4.2;30
Selnica ob Dravi;1.1;5
Semič;8.7;33
Sevnica;3.3;58
Sežana;3.3;43
Slovenj Gradec;4.0;67
Slovenska Bistrica;3.7;94
Slovenske Konjice;3.9;57
Sodražica;2.8;6
Solčava;z;z
Središče ob Dravi;0.0;0
Starše;3.9;16
Straža;4.2;16
Sveta Ana;6.9;16
Sveta Trojica v Slov. goricah;2.9;6
Sveti Andraž v Slov. goricah;5.1;6
Sveti Jurij ob Ščavnici;2.8;8
Sveti Jurij v Slov. goricah;z;z
Sveti Tomaž;2.9;6
Šalovci;z;z
Šempeter - Vrtojba;2.9;18
Šenčur;0.9;8
Šentilj;3.7;31
Šentjernej;7.2;50
Šentjur;3.6;69
Šentrupert;4.8;14
Škocjan;10.8;35
Škofja Loka;3.0;68
Škofljica;2.5;26
Šmarje pri Jelšah;2.1;21
Šmarješke Toplice;1.2;4
Šmartno ob Paki;4.7;15
Šmartno pri Litiji;2.0;11
Šoštanj;2.8;24
Štore;2.1;9
Tabor;1.8;3
Tišina;2.2;9
Tolmin;2.3;26
Trbovlje;4.0;66
Trebnje;3.5;43
Trnovska vas;z;z
Trzin;1.3;5
Tržič;3.1;46
Turnišče;4.3;14
Velenje;3.1;101
Velika Polana;4.1;6
Velike Lašče;1.9;8
Veržej;3.1;4
Videm;4.4;24
Vipava;1.6;9
Vitanje;1.8;4
Vodice;2.1;10
Vojnik;2.7;23
Vransko;2.7;7
Vrhnika;2.9;48
Vuzenica;4.0;11
Zagorje ob Savi;2.5;41
Zavrč;3.5;6
Zreče;3.1;20
Žalec;3.9;83
Železniki;1.6;11
Žetale;2.3;3
Žiri;1.9;9
Žirovnica;1.1;5
Žužemberk;2.2;10
Tujina;-;855
